ManagementPackId,WorkflowId,WorkflowType,DisplayName,Description,OverrideParameterName,OverrideParameterType,DefaultValue,Balanced,Essential,Full,Notes
Microsoft.JEE.Tomcat.6,Microsoft.JEE.Tomcat.6.Unix.Monitored.Configuration.Discovery,Discovery,Monitored configuration for Tomcat 6.x application server on Unix/Linux,Discovers monitored Tomcat web application server configurations on Unix/Linux.,SyncTime,string,,,,,
Microsoft.JEE.Tomcat.6,Microsoft.JEE.Tomcat.6.Unix.Monitored.Configuration.Discovery,Discovery,Monitored configuration for Tomcat 6.x application server on Unix/Linux,Discovers monitored Tomcat web application server configurations on Unix/Linux.,OutputErrorIfAny,string,,,,,
Microsoft.JEE.Tomcat.6,Microsoft.JEE.Tomcat.6.Unix.Monitored.Configuration.Discovery,Discovery,Monitored configuration for Tomcat 6.x application server on Unix/Linux,Discovers monitored Tomcat web application server configurations on Unix/Linux.,Interval,int,14400,,,,
Microsoft.JEE.Tomcat.6,Microsoft.JEE.Tomcat.6.Unix.Configuration.Discovery,Discovery,Configuration for Tomcat 6.x application server on Unix/Linux,Discovers Tomcat web application server configurations on Unix/Linux.,Enabled,bool,TRUE,,,,
Microsoft.JEE.Tomcat.6,Microsoft.JEE.Tomcat.6.Unix.Configuration.Discovery,Discovery,Configuration for Tomcat 6.x application server on Unix/Linux,Discovers Tomcat web application server configurations on Unix/Linux.,TimeoutSeconds,int,900,,,,
Microsoft.JEE.Tomcat.6,Microsoft.JEE.Tomcat.6.Unix.Configuration.Discovery,Discovery,Configuration for Tomcat 6.x application server on Unix/Linux,Discovers Tomcat web application server configurations on Unix/Linux.,SyncTime,string,,,,,
Microsoft.JEE.Tomcat.6,Microsoft.JEE.Tomcat.6.Unix.Configuration.Discovery,Discovery,Configuration for Tomcat 6.x application server on Unix/Linux,Discovers Tomcat web application server configurations on Unix/Linux.,IntervalSeconds,int,14400,,,,
Microsoft.JEE.Tomcat.6,Microsoft.JEE.Tomcat.6.Windows.Monitored.Configuration.Discovery,Discovery,Monitored configuration for Tomcat 6.x application server,Discovers all monitored Tomcat web application server configurations.,Enabled,bool,TRUE,,,,
Microsoft.JEE.Tomcat.6,Microsoft.JEE.Tomcat.6.Windows.Monitored.Configuration.Discovery,Discovery,Monitored configuration for Tomcat 6.x application server,Discovers all monitored Tomcat web application server configurations.,TimeoutSeconds,int,300,,,,
Microsoft.JEE.Tomcat.6,Microsoft.JEE.Tomcat.6.Windows.Monitored.Configuration.Discovery,Discovery,Monitored configuration for Tomcat 6.x application server,Discovers all monitored Tomcat web application server configurations.,Arguments,string,"$Target/ManagementGroup/Id$ $MPElement$ $Target/Id$ ""$Target/Property[Type=""JEE!Microsoft.JEE.ApplicationServer.Instance""]/Id$"" ""$Target/Property[Type=""JEE!Microsoft.JEE.ApplicationServer.Instance""]/HostName$"" ""$Target/Property[Type=""System!System.Entity""]/DisplayName$"" $MPElement[Name='Microsoft.JEE.Tomcat.6.Monitored.Configuration']$ ""$Target/Property[Type=""JEE!Microsoft.JEE.ApplicationServer.Instance""]/HttpPort$"" ""$Target/Property[Type=""JEE!Microsoft.JEE.ApplicationServer.Instance""]/HttpsPort$"" ""$Target/Property[Type=""JEE!Microsoft.JEE.ApplicationServer.Instance""]/Version$"" ""$Target/Property[Type=""JEE!Microsoft.JEE.ApplicationServer.Instance""]/DiskPath$""",,,,
Microsoft.JEE.Tomcat.6,Microsoft.JEE.Tomcat.6.Windows.Monitored.Configuration.Discovery,Discovery,Monitored configuration for Tomcat 6.x application server,Discovers all monitored Tomcat web application server configurations.,SyncTime,string,,,,,
Microsoft.JEE.Tomcat.6,Microsoft.JEE.Tomcat.6.Windows.Monitored.Configuration.Discovery,Discovery,Monitored configuration for Tomcat 6.x application server,Discovers all monitored Tomcat web application server configurations.,IntervalSeconds,int,14400,,,,
