ManagementPackId,WorkflowId,WorkflowType,DisplayName,Description,OverrideParameterName,OverrideParameterType,DefaultValue,Balanced,Essential,Full,Notes
Microsoft.JEE.Tomcat.6,Microsoft.JEE.Tomcat.6.Deep.Application.AvailabilityHealth.UnitMonitor,UnitMonitor,Health State,Monitors the health state of the deployed applications for a Tomcat 6.x web application server.,Port,string,"$Target/Host/Property[Type=""JEE!Microsoft.JEE.ApplicationServer.Monitored.Instance""]/Port$",,,,
Microsoft.JEE.Tomcat.6,Microsoft.JEE.Tomcat.6.Deep.Application.AvailabilityHealth.UnitMonitor,UnitMonitor,Health State,Monitors the health state of the deployed applications for a Tomcat 6.x web application server.,IntervalSeconds,int,900,1200,,,Updated interval 
Microsoft.JEE.Tomcat.7,Microsoft.JEE.Tomcat.7.Deep.Application.AvailabilityHealth.UnitMonitor,UnitMonitor,Health State,Monitors the health state of the deployed applications for a Tomcat 7.x web application server.,Enabled,bool,TRUE,,,,
Microsoft.JEE.Tomcat.7,Microsoft.JEE.Tomcat.7.Deep.Application.AvailabilityHealth.UnitMonitor,UnitMonitor,Health State,Monitors the health state of the deployed applications for a Tomcat 7.x web application server.,TimeoutSeconds,int,300,,,,
Microsoft.JEE.Tomcat.7,Microsoft.JEE.Tomcat.7.Deep.Application.AvailabilityHealth.UnitMonitor,UnitMonitor,Health State,Monitors the health state of the deployed applications for a Tomcat 7.x web application server.,BaseURL,string,,,,,
Microsoft.JEE.Tomcat.7,Microsoft.JEE.Tomcat.7.Deep.Application.AvailabilityHealth.UnitMonitor,UnitMonitor,Health State,Monitors the health state of the deployed applications for a Tomcat 7.x web application server.,Protocol,string,"$Target/Host/Property[Type=""JEE!Microsoft.JEE.ApplicationServer.Monitored.Instance""]/Protocol$",,,,
Microsoft.JEE.Tomcat.7,Microsoft.JEE.Tomcat.7.Deep.Application.AvailabilityHealth.UnitMonitor,UnitMonitor,Health State,Monitors the health state of the deployed applications for a Tomcat 7.x web application server.,ComputerName,string,"$Target/Host/Property[Type=""JEE!Microsoft.JEE.ApplicationServer.Monitored.Instance""]/HostName$",,,,
Microsoft.JEE.Tomcat.7,Microsoft.JEE.Tomcat.7.Deep.Application.AvailabilityHealth.UnitMonitor,UnitMonitor,Health State,Monitors the health state of the deployed applications for a Tomcat 7.x web application server.,Port,string,"$Target/Host/Property[Type=""JEE!Microsoft.JEE.ApplicationServer.Monitored.Instance""]/Port$",,,,
Microsoft.JEE.Tomcat.7,Microsoft.JEE.Tomcat.7.Deep.Application.AvailabilityHealth.UnitMonitor,UnitMonitor,Health State,Monitors the health state of the deployed applications for a Tomcat 7.x web application server.,IntervalSeconds,int,900,1200,,,Updated interval 
Microsoft.JEE.Tomcat.8,Microsoft.JEE.Tomcat.8.Deep.Application.AvailabilityHealth.UnitMonitor,UnitMonitor,Health State,Monitors the health state of the deployed applications for a Tomcat 8.x web application server.,Enabled,bool,TRUE,,,,
Microsoft.JEE.Tomcat.5,Microsoft.JEE.Tomcat.5.Unix.Configuration.Discovery,Discovery,Configuration for Tomcat 5.x application server on Unix/Linux,Discovers Tomcat web application server configurations on Unix/Linux.,Enabled,bool,TRUE,,,,
Microsoft.JEE.Tomcat.5,Microsoft.JEE.Tomcat.5.Unix.Configuration.Discovery,Discovery,Configuration for Tomcat 5.x application server on Unix/Linux,Discovers Tomcat web application server configurations on Unix/Linux.,TimeoutSeconds,int,900,,,,
Microsoft.JEE.Tomcat.5,Microsoft.JEE.Tomcat.5.Unix.Configuration.Discovery,Discovery,Configuration for Tomcat 5.x application server on Unix/Linux,Discovers Tomcat web application server configurations on Unix/Linux.,SyncTime,string,,,,,
Microsoft.JEE.Tomcat.5,Microsoft.JEE.Tomcat.5.Unix.Configuration.Discovery,Discovery,Configuration for Tomcat 5.x application server on Unix/Linux,Discovers Tomcat web application server configurations on Unix/Linux.,IntervalSeconds,int,14400,,,,
Microsoft.JEE.Tomcat.5,Microsoft.JEE.Tomcat.5.Unix.UnixComputerContainsConfiguration.Discovery,Discovery,Unix/Linux computer contains Tomcat 5.x web application server configuration relationship,Discovers relationship between a Unix/Linux computer and a Tomcat web application server configuration.,Enabled,bool,TRUE,,,,
Microsoft.JEE.Tomcat.5,Microsoft.JEE.Tomcat.5.Unix.UnixComputerContainsConfiguration.Discovery,Discovery,Unix/Linux computer contains Tomcat 5.x web application server configuration relationship,Discovers relationship between a Unix/Linux computer and a Tomcat web application server configuration.,Frequency,int,14400,,,,
Microsoft.JEE.Tomcat.5,Microsoft.JEE.Tomcat.5.UnixSeed.Configuration.Discovery,Discovery,Seed of a configuration for Tomcat 5.x application server on Unix/Linux,Discovers the seed for a Tomcat web application server configuration on Unix/Linux.,Enabled,bool,TRUE,,,,
Microsoft.JEE.Tomcat.5,Microsoft.JEE.Tomcat.5.UnixSeed.Configuration.Discovery,Discovery,Seed of a configuration for Tomcat 5.x application server on Unix/Linux,Discovers the seed for a Tomcat web application server configuration on Unix/Linux.,SyncTime,string,,,,,
Microsoft.JEE.Tomcat.5,Microsoft.JEE.Tomcat.5.UnixSeed.Configuration.Discovery,Discovery,Seed of a configuration for Tomcat 5.x application server on Unix/Linux,Discovers the seed for a Tomcat web application server configuration on Unix/Linux.,OutputErrorIfAny,string,,,,,
Microsoft.JEE.Tomcat.5,Microsoft.JEE.Tomcat.5.UnixSeed.Configuration.Discovery,Discovery,Seed of a configuration for Tomcat 5.x application server on Unix/Linux,Discovers the seed for a Tomcat web application server configuration on Unix/Linux.,Interval,int,14400,,,,
Microsoft.JEE.Tomcat.5,Microsoft.JEE.Tomcat.5.Universal2Monitored.Discovery,Discovery,Universal configuration for Tomcat 5.x application server,Discovers all universal instances of the Tomcat web application server configurations.,Enabled,bool,TRUE,,,,
Microsoft.JEE.Tomcat.5,Microsoft.JEE.Tomcat.5.Universal2Monitored.Discovery,Discovery,Universal configuration for Tomcat 5.x application server,Discovers all universal instances of the Tomcat web application server configurations.,Interval,int,14400,,,,
Microsoft.JEE.Tomcat.5,Microsoft.JEE.Tomcat.5.Application.Discovery,Discovery,Webmodules for Tomcat 5.x web application server,Discovers applications (Webmodules) installed on a Tomcat web application server 5.x configuration.,Enabled,bool,TRUE,,,,
Microsoft.JEE.Tomcat.5,Microsoft.JEE.Tomcat.5.Application.Discovery,Discovery,Webmodules for Tomcat 5.x web application server,Discovers applications (Webmodules) installed on a Tomcat web application server 5.x configuration.,ApplicationServerGuid,string,"$Target/Host/Property[Type=""JEE!Microsoft.JEE.ApplicationServer.Instance""]/Id$",,,,
Microsoft.JEE.Tomcat.5,Microsoft.JEE.Tomcat.5.Application.Discovery,Discovery,Webmodules for Tomcat 5.x web application server,Discovers applications (Webmodules) installed on a Tomcat web application server 5.x configuration.,BaseURL,string,,,,,
Microsoft.JEE.Tomcat.5,Microsoft.JEE.Tomcat.5.Application.Discovery,Discovery,Webmodules for Tomcat 5.x web application server,Discovers applications (Webmodules) installed on a Tomcat web application server 5.x configuration.,ComputerName,string,"$Target/Property[Type=""JEE!Microsoft.JEE.ApplicationServer.Monitored.Instance""]/HostName$",,,,
Microsoft.JEE.Tomcat.5,Microsoft.JEE.Tomcat.5.Application.Discovery,Discovery,Webmodules for Tomcat 5.x web application server,Discovers applications (Webmodules) installed on a Tomcat web application server 5.x configuration.,Protocol,string,"$Target/Property[Type=""JEE!Microsoft.JEE.ApplicationServer.Monitored.Instance""]/Protocol$",,,,
Microsoft.JEE.Tomcat.5,Microsoft.JEE.Tomcat.5.Application.Discovery,Discovery,Webmodules for Tomcat 5.x web application server,Discovers applications (Webmodules) installed on a Tomcat web application server 5.x configuration.,TimeoutSeconds,int,900,,,,
Microsoft.JEE.Tomcat.5,Microsoft.JEE.Tomcat.5.Application.Discovery,Discovery,Webmodules for Tomcat 5.x web application server,Discovers applications (Webmodules) installed on a Tomcat web application server 5.x configuration.,IntervalSeconds,int,14400,,,,
Microsoft.JEE.Tomcat.5,Microsoft.JEE.Tomcat.5.Application.Discovery,Discovery,Webmodules for Tomcat 5.x web application server,Discovers applications (Webmodules) installed on a Tomcat web application server 5.x configuration.,JMXQuery,string,"Catalina:j2eeType=WebModule,*",,,,
Microsoft.JEE.Tomcat.5,Microsoft.JEE.Tomcat.5.Application.Discovery,Discovery,Webmodules for Tomcat 5.x web application server,Discovers applications (Webmodules) installed on a Tomcat web application server 5.x configuration.,Port,string,"$Target/Property[Type=""JEE!Microsoft.JEE.ApplicationServer.Monitored.Instance""]/Port$",,,,
Microsoft.JEE.Tomcat.5,Microsoft.JEE.Tomcat.5.Application.Discovery,Discovery,Webmodules for Tomcat 5.x web application server,Discovers applications (Webmodules) installed on a Tomcat web application server 5.x configuration.,AdditionalArguments,string,&MaxDepth=0,,,,
Microsoft.JEE.Tomcat.5,Microsoft.JEE.Tomcat.5.Unix.Monitored.Configuration.Discovery,Discovery,Monitored configuration for Tomcat 5.x application server on Unix/Linux,Discovers monitored Tomcat web application server configurations on Unix/Linux.,Enabled,bool,TRUE,,,,
Microsoft.JEE.Tomcat.5,Microsoft.JEE.Tomcat.5.Unix.Monitored.Configuration.Discovery,Discovery,Monitored configuration for Tomcat 5.x application server on Unix/Linux,Discovers monitored Tomcat web application server configurations on Unix/Linux.,SyncTime,string,,,,,
Microsoft.JEE.Tomcat.5,Microsoft.JEE.Tomcat.5.Unix.Monitored.Configuration.Discovery,Discovery,Monitored configuration for Tomcat 5.x application server on Unix/Linux,Discovers monitored Tomcat web application server configurations on Unix/Linux.,OutputErrorIfAny,string,,,,,
Microsoft.JEE.Tomcat.5,Microsoft.JEE.Tomcat.5.Unix.Monitored.Configuration.Discovery,Discovery,Monitored configuration for Tomcat 5.x application server on Unix/Linux,Discovers monitored Tomcat web application server configurations on Unix/Linux.,Interval,int,14400,,,,
Microsoft.JEE.Tomcat.5,Microsoft.JEE.Tomcat.5.Windows.Monitored.Configuration.Discovery,Discovery,Monitored configuration for Tomcat 5.x application server on Windows,Discovers all monitored Tomcat web application server configurations.,Enabled,bool,TRUE,,,,
Microsoft.JEE.Tomcat.5,Microsoft.JEE.Tomcat.5.Windows.Monitored.Configuration.Discovery,Discovery,Monitored configuration for Tomcat 5.x application server on Windows,Discovers all monitored Tomcat web application server configurations.,TimeoutSeconds,int,300,,,,
Microsoft.JEE.Tomcat.5,Microsoft.JEE.Tomcat.5.Windows.Monitored.Configuration.Discovery,Discovery,Monitored configuration for Tomcat 5.x application server on Windows,Discovers all monitored Tomcat web application server configurations.,Arguments,string,"$Target/ManagementGroup/Id$ $MPElement$ $Target/Id$ ""$Target/Property[Type=""JEE!Microsoft.JEE.ApplicationServer.Instance""]/Id$"" ""$Target/Property[Type=""JEE!Microsoft.JEE.ApplicationServer.Instance""]/HostName$"" ""$Target/Property[Type=""System!System.Entity""]/DisplayName$"" $MPElement[Name='Microsoft.JEE.Tomcat.5.Monitored.Configuration']$ ""$Target/Property[Type=""JEE!Microsoft.JEE.ApplicationServer.Instance""]/HttpPort$"" ""$Target/Property[Type=""JEE!Microsoft.JEE.ApplicationServer.Instance""]/HttpsPort$"" ""$Target/Property[Type=""JEE!Microsoft.JEE.ApplicationServer.Instance""]/Version$"" ""$Target/Property[Type=""JEE!Microsoft.JEE.ApplicationServer.Instance""]/DiskPath$""",,,,
Microsoft.JEE.Tomcat.5,Microsoft.JEE.Tomcat.5.Windows.Monitored.Configuration.Discovery,Discovery,Monitored configuration for Tomcat 5.x application server on Windows,Discovers all monitored Tomcat web application server configurations.,SyncTime,string,,,,,
Microsoft.JEE.Tomcat.5,Microsoft.JEE.Tomcat.5.Windows.Monitored.Configuration.Discovery,Discovery,Monitored configuration for Tomcat 5.x application server on Windows,Discovers all monitored Tomcat web application server configurations.,IntervalSeconds,int,14400,,,,
Microsoft.JEE.Tomcat.5,Microsoft.JEE.Tomcat.5.Unix.UnixComputerContainsUnixSeed.Discovery,Discovery,Unix/Linux computer contains seed for a Tomcat 5.x web application server configuration relationship,Discovers relationship between a Unix/Linux computer and seed for a Tomcat web application server configuration.,Enabled,bool,TRUE,,,,
Microsoft.JEE.Tomcat.5,Microsoft.JEE.Tomcat.5.Unix.UnixComputerContainsUnixSeed.Discovery,Discovery,Unix/Linux computer contains seed for a Tomcat 5.x web application server configuration relationship,Discovers relationship between a Unix/Linux computer and seed for a Tomcat web application server configuration.,Frequency,int,14400,,,,
Microsoft.JEE.Tomcat.5,Microsoft.JEE.Tomcat.5.Windows.Configuration.Discovery,Discovery,Configuration for Tomcat 5.x application server on Windows,Discovers all Tomcat web application server configurations on Windows.,Enabled,bool,TRUE,,,,
Microsoft.JEE.Tomcat.5,Microsoft.JEE.Tomcat.5.Windows.Configuration.Discovery,Discovery,Configuration for Tomcat 5.x application server on Windows,Discovers all Tomcat web application server configurations on Windows.,TimeoutSeconds,int,300,,,,
Microsoft.JEE.Tomcat.5,Microsoft.JEE.Tomcat.5.Windows.Configuration.Discovery,Discovery,Configuration for Tomcat 5.x application server on Windows,Discovers all Tomcat web application server configurations on Windows.,Arguments,string,"$Target/ManagementGroup/Id$ $MPElement$ ""$MPElement[Name='Microsoft.JEE.Tomcat.5.Windows.Configuration']$"" ""$MPElement[Name='Microsoft.JEE.Tomcat.5.WindowsComputerContainsConfiguration.Relationship']$"" $Target/Id$ $Target/Property[Type=""Windows!Microsoft.Windows.Computer""]/PrincipalName$",,,,
Microsoft.JEE.Tomcat.5,Microsoft.JEE.Tomcat.5.Windows.Configuration.Discovery,Discovery,Configuration for Tomcat 5.x application server on Windows,Discovers all Tomcat web application server configurations on Windows.,SyncTime,string,,,,,
