ManagementPackId,WorkflowId,WorkflowType,OverrideParameterName,OverrideParameterType,DefaultValue,Essentials,Balanced,Full,Notes
Microsoft.SQLServer.2012.AlwaysOn.Monitoring,Microsoft.SQLServer.2012.AlwaysOn.AllAvailabilityReplicasAreConnected,UnitMonitor,Enabled,bool,TRUE,,,,
Microsoft.SQLServer.2012.AlwaysOn.Monitoring,Microsoft.SQLServer.2012.AlwaysOn.AllAvailabilityReplicasAreConnected,UnitMonitor,TimeoutSeconds,int,300,,,,
Microsoft.SQLServer.2012.AlwaysOn.Monitoring,Microsoft.SQLServer.2012.AlwaysOn.AllAvailabilityReplicasAreConnected,UnitMonitor,Interval,int,900,,,,
Microsoft.SQLServer.2012.AlwaysOn.Monitoring,Microsoft.SQLServer.2012.AlwaysOn.AllAvailabilityReplicasAreConnected,UnitMonitor,PolicyName,string,Targeted Property,,,,
Microsoft.SQLServer.2012.AlwaysOn.Monitoring,Microsoft.SQLServer.2012.AlwaysOn.AvailabilityReplicaIsConnected,UnitMonitor,Enabled,bool,TRUE,,,,
Microsoft.SQLServer.2012.AlwaysOn.Monitoring,Microsoft.SQLServer.2012.AlwaysOn.AvailabilityReplicaIsConnected,UnitMonitor,TimeoutSeconds,int,300,,,,
Microsoft.SQLServer.2012.AlwaysOn.Monitoring,Microsoft.SQLServer.2012.AlwaysOn.AvailabilityReplicaIsConnected,UnitMonitor,Interval,int,900,,,,
Microsoft.SQLServer.2012.AlwaysOn.Monitoring,Microsoft.SQLServer.2012.AlwaysOn.AvailabilityReplicaIsConnected,UnitMonitor,PolicyName,string,Targeted Property,,,,
Microsoft.SQLServer.2012.AlwaysOn.Monitoring,Microsoft.SQLServer.2012.AlwaysOn.AvailabilityReplicasSynchronizationState,UnitMonitor,Enabled,bool,TRUE,,,,
Microsoft.SQLServer.2012.AlwaysOn.Monitoring,Microsoft.SQLServer.2012.AlwaysOn.AvailabilityReplicasSynchronizationState,UnitMonitor,TimeoutSeconds,int,300,,,,
Microsoft.SQLServer.2012.AlwaysOn.Monitoring,Microsoft.SQLServer.2012.AlwaysOn.DbrSuspendState,UnitMonitor,Interval,int,900,,,,
Microsoft.SQLServer.2012.Discovery,Microsoft.SQLServer.2012.DBEngineDiscoveryRule.Server,Discovery,ExcludeList,string,,,,,
