ManagementPackId,WorkflowId,WorkflowType,DisplayName,Description,OverrideParameterName,OverrideParameterType,DefaultValue,Custom,Notes
Microsoft.SystemCenter2012.ConfigurationManager.Monitoring,Microsoft.SystemCenter2012.ConfigurationManager.StateSystem.FailedToExecuteSummaryTask_Events,Rule,Event Collection: Fail to execute system summary task,This rule generates alert if system summary task fails,Enabled,bool,FALSE,,
Microsoft.SystemCenter2012.ConfigurationManager.Monitoring,Microsoft.SystemCenter2012.ConfigurationManager.StateSystem.FailedToExecuteSummaryTask_Events,Rule,Event Collection: Fail to execute system summary task,This rule generates alert if system summary task fails,Severity,int,2,,
Microsoft.SystemCenter2012.ConfigurationManager.Monitoring,Microsoft.SystemCenter2012.ConfigurationManager.StateSystem.FailedToExecuteSummaryTask_Events,Rule,Event Collection: Fail to execute system summary task,This rule generates alert if system summary task fails,Priority,int,1,,
Microsoft.SystemCenter2012.ConfigurationManager.Monitoring,Microsoft.SystemCenter2012.ConfigurationManager.Perf_Collection_Site_Server_Status_processing_rate_19_Rule,Rule,Perf Collection: SMS Status Messages - Processed/sec (_Total),Perf Collection: Site Server Status processing rate,Enabled,bool,FALSE,,
Microsoft.SystemCenter2012.ConfigurationManager.Monitoring,Microsoft.SystemCenter2012.ConfigurationManager.Perf_Collection_Site_Server_Status_processing_rate_19_Rule,Rule,Perf Collection: SMS Status Messages - Processed/sec (_Total),Perf Collection: Site Server Status processing rate,Tolerance,double,5,,
Microsoft.SystemCenter2012.ConfigurationManager.Monitoring,Microsoft.SystemCenter2012.ConfigurationManager.Perf_Collection_Site_Server_Status_processing_rate_19_Rule,Rule,Perf Collection: SMS Status Messages - Processed/sec (_Total),Perf Collection: Site Server Status processing rate,MaximumSampleSeparation,int,10,,
Microsoft.SystemCenter2012.ConfigurationManager.Monitoring,Microsoft.SystemCenter2012.ConfigurationManager.Perf_Collection_Site_Server_Status_processing_rate_19_Rule,Rule,Perf Collection: SMS Status Messages - Processed/sec (_Total),Perf Collection: Site Server Status processing rate,Frequency,int,900,,
Microsoft.SystemCenter2012.ConfigurationManager.Monitoring,Microsoft.SystemCenter2012.ConfigurationManager.WsusConfigurationManager.UnsupportedWsusVersion_Events,Rule,Event Collection: WSUS version mismatch,This rule generates alert if the WSUS server version is not the required version,Enabled,bool,FALSE,,
Microsoft.SystemCenter2012.ConfigurationManager.Monitoring,Microsoft.SystemCenter2012.ConfigurationManager.WsusConfigurationManager.UnsupportedWsusVersion_Events,Rule,Event Collection: WSUS version mismatch,This rule generates alert if the WSUS server version is not the required version,Severity,int,2,,
Microsoft.SystemCenter2012.ConfigurationManager.Monitoring,Microsoft.SystemCenter2012.ConfigurationManager.WsusConfigurationManager.UnsupportedWsusVersion_Events,Rule,Event Collection: WSUS version mismatch,This rule generates alert if the WSUS server version is not the required version,Priority,int,1,,
