ManagementPackId,WorkflowId,WorkflowType,DisplayName,Description,OverrideParameterName,OverrideParameterType,DefaultValue,Notes
Microsoft.SystemCenter.Orchestrator,Microsoft.SystemCenter.CB.Orchestrator.PolicyModule.ThreadCount.Collection,Rule,System Center Orchestrator Runbook Policy Module Thread Count Collection,This rule collects historical performance data for the Thread Count metric for the Runbook Policy Module process on a Runbook Server.,Tolerance,double,0,
Microsoft.SystemCenter.Orchestrator,Microsoft.SystemCenter.CB.Orchestrator.PolicyModule.ThreadCount.Collection,Rule,System Center Orchestrator Runbook Policy Module Thread Count Collection,This rule collects historical performance data for the Thread Count metric for the Runbook Policy Module process on a Runbook Server.,MaximumSampleSeparation,int,1,
Microsoft.SystemCenter.Orchestrator,Microsoft.SystemCenter.CB.Orchestrator.PolicyModule.ThreadCount.Collection,Rule,System Center Orchestrator Runbook Policy Module Thread Count Collection,This rule collects historical performance data for the Thread Count metric for the Runbook Policy Module process on a Runbook Server.,Frequency,int,600,
Microsoft.SystemCenter.Orchestrator,Microsoft.SystemCenter.CB.Orchestrator.RunbookPolicyModuleFault.Alert,Rule,System Center Orchestrator Runbook Policy Module Fault Alert,This rule generates an alert if an application fault is detected for the Runbook Policy Module process on a Runbook Server.,Enabled,bool,TRUE,
Microsoft.SystemCenter.Orchestrator,Microsoft.SystemCenter.CB.Orchestrator.RunbookPolicyModuleFault.Alert,Rule,System Center Orchestrator Runbook Policy Module Fault Alert,This rule generates an alert if an application fault is detected for the Runbook Policy Module process on a Runbook Server.,Severity,int,1,
Microsoft.SystemCenter.Orchestrator,Microsoft.SystemCenter.CB.Orchestrator.RunbookPolicyModuleFault.Alert,Rule,System Center Orchestrator Runbook Policy Module Fault Alert,This rule generates an alert if an application fault is detected for the Runbook Policy Module process on a Runbook Server.,Priority,int,1,
Microsoft.SystemCenter.Orchestrator,Microsoft.SystemCenter.CB.Orchestrator.PolicyModule.WorkingSetPeak.Collection,Rule,System Center Orchestrator Runbook Policy Module Working Set Peak Collection,This rule collects historical performance data for the Working Set Peak metric for the Runbook Policy Module process on a Runbook Server.,Enabled,bool,TRUE,
Microsoft.SystemCenter.Orchestrator,Microsoft.SystemCenter.CB.Orchestrator.PolicyModule.WorkingSetPeak.Collection,Rule,System Center Orchestrator Runbook Policy Module Working Set Peak Collection,This rule collects historical performance data for the Working Set Peak metric for the Runbook Policy Module process on a Runbook Server.,Tolerance,double,0,
Microsoft.SystemCenter.Orchestrator,Microsoft.SystemCenter.CB.Orchestrator.PolicyModule.WorkingSetPeak.Collection,Rule,System Center Orchestrator Runbook Policy Module Working Set Peak Collection,This rule collects historical performance data for the Working Set Peak metric for the Runbook Policy Module process on a Runbook Server.,MaximumSampleSeparation,int,1,
Microsoft.SystemCenter.Orchestrator,Microsoft.SystemCenter.CB.Orchestrator.PolicyModule.WorkingSetPeak.Collection,Rule,System Center Orchestrator Runbook Policy Module Working Set Peak Collection,This rule collects historical performance data for the Working Set Peak metric for the Runbook Policy Module process on a Runbook Server.,Frequency,int,600,
