ManagementPackId,WorkflowId,WorkflowType,DisplayName,Description,OverrideParameterName,OverrideParameterType,DefaultValue,Custom,Notes
Veeam.Virt.Extensions.HyperV.Discovery,Veeam.Virt.Extensions.HyperV.Host.Group.DiscoveryRule,Discovery,Veeam Hyper-V Host Group Discovery,Discovers Hyper-V Host Group,Enabled,bool,TRUE,,
Veeam.Virt.Extensions.HyperV.Discovery,Veeam.Virt.Extensions.HyperV.LocalStorageVolume.Group.DiscoveryRule,Discovery,Veeam Hyper-V Local Volumes Group Discovery,Discovers Hyper-V Local Volumes Group,Enabled,bool,TRUE,,
Veeam.Virt.Extensions.HyperV.Discovery,Veeam.Virt.Extensions.HyperV.PropertiesSCVMMDiscovery,Discovery,Veeam Hyper-V SCVMM properties and relations discovery,Discovers SCVMM properties and relations,Enabled,bool,onEssentialMonitoring,,
Veeam.Virt.Extensions.HyperV.Discovery,Veeam.Virt.Extensions.HyperV.PropertiesSCVMMDiscovery,Discovery,Veeam Hyper-V SCVMM properties and relations discovery,Discovers SCVMM properties and relations,Verbose,bool,FALSE,,
Veeam.Virt.Extensions.HyperV.Discovery,Veeam.Virt.Extensions.HyperV.PropertiesSCVMMDiscovery,Discovery,Veeam Hyper-V SCVMM properties and relations discovery,Discovers SCVMM properties and relations,IntervalSeconds,int,14400,,
Veeam.Virt.Extensions.HyperV.Discovery,Veeam.Virt.Extensions.HyperV.PropertiesSCVMMDiscovery,Discovery,Veeam Hyper-V SCVMM properties and relations discovery,Discovers SCVMM properties and relations,TimeoutSeconds,int,300,,
Veeam.Virt.Extensions.HyperV.Discovery,Veeam.Virt.Extensions.HyperV.PropertiesSCVMMDiscovery,Discovery,Veeam Hyper-V SCVMM properties and relations discovery,Discovers SCVMM properties and relations,SyncTime,string,,,
Veeam.Virt.Extensions.HyperV.Discovery,Veeam.Virt.Extensions.HyperV.NetworkAdapterDiscovery,Discovery,Veeam Hyper-V Host Network Adapter discovery,Discovers Network Adapters on Server running Hyper-V,Enabled,bool,onEssentialMonitoring,,
Veeam.Virt.Extensions.HyperV.Discovery,Veeam.Virt.Extensions.HyperV.NetworkAdapterDiscovery,Discovery,Veeam Hyper-V Host Network Adapter discovery,Discovers Network Adapters on Server running Hyper-V,Verbose,bool,FALSE,,
Veeam.Virt.Extensions.HyperV.Discovery,Veeam.Virt.Extensions.HyperV.NetworkAdapterDiscovery,Discovery,Veeam Hyper-V Host Network Adapter discovery,Discovers Network Adapters on Server running Hyper-V,IntervalSeconds,int,14400,,
Veeam.Virt.Extensions.HyperV.Discovery,Veeam.Virt.Extensions.HyperV.NetworkAdapterDiscovery,Discovery,Veeam Hyper-V Host Network Adapter discovery,Discovers Network Adapters on Server running Hyper-V,TimeoutSeconds,int,300,,
Veeam.Virt.Extensions.HyperV.Discovery,Veeam.Virt.Extensions.HyperV.NetworkAdapterDiscovery,Discovery,Veeam Hyper-V Host Network Adapter discovery,Discovers Network Adapters on Server running Hyper-V,SyncTime,string,,,
Veeam.Virt.Extensions.HyperV.Discovery,Veeam.Virt.Extensions.HyperV.ClusterDisk.Group.DiscoveryRule,Discovery,Veeam Hyper-V Cluster Disk Group Discovery,Hyper-V Cluster Disk Group Discovery,Enabled,bool,TRUE,,
Veeam.Virt.Extensions.HyperV.Discovery,Veeam.Virt.Extensions.HyperV.AllStorage.Group.DiscoveryRule,Discovery,Veeam Hyper-V Storage Group Discovery,Discovers Hyper-V Storage Group,Enabled,bool,TRUE,,
Veeam.Virt.Extensions.HyperV.Discovery,Veeam.Virt.Extensions.HyperV.LocalStorage.Group.DiscoveryRule,Discovery,Populate Veeam Hyper-V Local Physical Disks Group,This discovery rule populates the group 'Veeam Hyper-V Local Physical Disks Group',Enabled,bool,TRUE,,
Veeam.Virt.Extensions.HyperV.Discovery,Veeam.Virt.Extensions.HyperV.vSwitchPropertiesDiscovery,Discovery,Veeam Hyper-V vSwitch properties discovery,Discovers vSwitch properties,Enabled,bool,onEssentialMonitoring,,
Veeam.Virt.Extensions.HyperV.Discovery,Veeam.Virt.Extensions.HyperV.vSwitchPropertiesDiscovery,Discovery,Veeam Hyper-V vSwitch properties discovery,Discovers vSwitch properties,SyncTime,string,,,
Veeam.Virt.Extensions.HyperV.Discovery,Veeam.Virt.Extensions.HyperV.vSwitchPropertiesDiscovery,Discovery,Veeam Hyper-V vSwitch properties discovery,Discovers vSwitch properties,IntervalSeconds,int,14400,,
Veeam.Virt.Extensions.HyperV.Discovery,Veeam.Virt.Extensions.HyperV.vSwitchPropertiesDiscovery,Discovery,Veeam Hyper-V vSwitch properties discovery,Discovers vSwitch properties,TimeoutSeconds,int,300,,
Veeam.Virt.Extensions.HyperV.Discovery,Veeam.Virt.Extensions.HyperV.vSwitchPropertiesDiscovery,Discovery,Veeam Hyper-V vSwitch properties discovery,Discovers vSwitch properties,Verbose,bool,FALSE,,
Veeam.Virt.Extensions.HyperV.Discovery,Veeam.Virt.Extensions.HyperV.Cluster.Group.DiscoveryRule,Discovery,Veeam Hyper-V Cluster Group Discovery,Discovers Hyper-V Cluster Group,Enabled,bool,TRUE,,
Veeam.Virt.Extensions.HyperV.Discovery,Veeam.Virt.Extensions.HyperV.ClusterSharedVolumeDiscovery,Discovery,Veeam Hyper-V Cluster Shared Volume discovery,Veeam Hyper-V Cluster Shared Volume discovery,Enabled,bool,onEssentialMonitoring,,
