ManagementPackId,WorkflowId,WorkflowType,DisplayName,Description,OverrideParameterName,OverrideParameterType,DefaultValue,Essentials,Full,Standard,Notes
Microsoft.Windows.Server.2012.Monitoring,Microsoft.Windows.Server.6.2.Processor.PercentInterruptTime.Collection,Rule,Processor Information % Interrupt Time Windows Server 2012,Collects the performance counter Processor Information\% Interrupt Time,MaximumSampleSeparation,int,12,,,,
Microsoft.Windows.Server.2012.Monitoring,Microsoft.Windows.Server.6.2.Processor.PercentInterruptTime.Collection,Rule,Processor Information % Interrupt Time Windows Server 2012,Collects the performance counter Processor Information\% Interrupt Time,Frequency,int,300,,,,
Microsoft.Windows.Server.2012.Monitoring,Microsoft.Windows.Server.6.2.LogicalDisk.AvgDiskSecPerTransfer.Collection,Rule,Collection Rule for Average Disk Seconds Per Transfer Windows Server 2012,Collects the performance counter LogicalDisk\Avg Disk Sec Per Transfer,Enabled,bool,TRUE,,,,
Microsoft.Windows.Server.2012.Monitoring,Microsoft.Windows.Server.6.2.LogicalDisk.AvgDiskSecPerTransfer.Collection,Rule,Collection Rule for Average Disk Seconds Per Transfer Windows Server 2012,Collects the performance counter LogicalDisk\Avg Disk Sec Per Transfer,Tolerance,double,0.026,,,,
Microsoft.Windows.Server.2012.Monitoring,Microsoft.Windows.Server.6.2.LogicalDisk.AvgDiskSecPerTransfer.Collection,Rule,Collection Rule for Average Disk Seconds Per Transfer Windows Server 2012,Collects the performance counter LogicalDisk\Avg Disk Sec Per Transfer,MaximumSampleSeparation,int,12,,,,
Microsoft.Windows.Server.2012.Monitoring,Microsoft.Windows.Server.6.2.LogicalDisk.AvgDiskSecPerTransfer.Collection,Rule,Collection Rule for Average Disk Seconds Per Transfer Windows Server 2012,Collects the performance counter LogicalDisk\Avg Disk Sec Per Transfer,Frequency,int,300,,,,
Microsoft.Windows.Server.2012.Monitoring,Microsoft.Windows.Server.6.2.OperatingSystem.ServiceOrDriverFailedToStart.Alert,Rule,A Service or Driver Failed to Start,An event was detected indicating a service or driver failed to start.,Enabled,bool,FALSE,,,,
Microsoft.Windows.Server.2012.Monitoring,Microsoft.Windows.Server.6.2.OperatingSystem.ServiceOrDriverFailedToStart.Alert,Rule,A Service or Driver Failed to Start,An event was detected indicating a service or driver failed to start.,Severity,int,1,,,,
Microsoft.Windows.Server.2012.Monitoring,Microsoft.Windows.Server.6.2.OperatingSystem.ServiceOrDriverFailedToStart.Alert,Rule,A Service or Driver Failed to Start,An event was detected indicating a service or driver failed to start.,Priority,int,1,,,,
Microsoft.Windows.Server.2012.Monitoring,Microsoft.Windows.Server.6.2.MemoryFreeSystemPageTableEntries.Collection,Rule,Free System Page Table Entries,Collects the performance counter Memory\Free System Page Table Entries,Enabled,bool,TRUE,,,,
Microsoft.Windows.Server.2012.Monitoring,Microsoft.Windows.Server.6.2.MemoryFreeSystemPageTableEntries.Collection,Rule,Free System Page Table Entries,Collects the performance counter Memory\Free System Page Table Entries,Tolerance,double,800,,,,
Microsoft.Windows.Server.2012.Monitoring,Microsoft.Windows.Server.6.2.MemoryFreeSystemPageTableEntries.Collection,Rule,Free System Page Table Entries,Collects the performance counter Memory\Free System Page Table Entries,MaximumSampleSeparation,int,6,,,,
Microsoft.Windows.Server.2012.Monitoring,Microsoft.Windows.Server.6.2.MemoryFreeSystemPageTableEntries.Collection,Rule,Free System Page Table Entries,Collects the performance counter Memory\Free System Page Table Entries,Frequency,int,600,,,,
Microsoft.Windows.Server.2012.Monitoring,Microsoft.Windows.Server.6.2.OperatingSystem.PerformanceRegistryCorruption.Alert,Rule,Performance registry corruption,Corruption was detected in the registry related to performance counters.,Enabled,bool,TRUE,,,,
Microsoft.Windows.Server.2012.Monitoring,Microsoft.Windows.Server.6.2.OperatingSystem.PerformanceRegistryCorruption.Alert,Rule,Performance registry corruption,Corruption was detected in the registry related to performance counters.,Severity,int,1,,,,
Microsoft.Windows.Server.2012.Monitoring,Microsoft.Windows.Server.6.2.OperatingSystem.PerformanceRegistryCorruption.Alert,Rule,Performance registry corruption,Corruption was detected in the registry related to performance counters.,Priority,int,1,,,,
Microsoft.Windows.Server.2012.Monitoring,Microsoft.Windows.Server.6.2.PhysicalDisk.AvgDiskSecPerWrite.Collection,Rule,Physical Disk Average Disk Seconds per Write Windows Server 2012,Collects the performance counter PhysicalDisk\Avg. Disk sec/Write.,Enabled,bool,FALSE,,,,
