ManagementPackId,WorkflowId,WorkflowType,DisplayName,Description,OverrideParameterName,OverrideParameterType,DefaultValue,Essentials,Full,Standard,Notes
Microsoft.Windows.Server.2012.Monitoring,Microsoft.Windows.Server.6.2.OperatingSystem.MemorySystemCacheResidentBytes.Collection,Rule,System Cache Resident Bytes,Collects the performance counter Memory\System Cache Resident Bytes,Enabled,bool,FALSE,,,,
Microsoft.Windows.Server.2012.Monitoring,Microsoft.Windows.Server.6.2.OperatingSystem.MemorySystemCacheResidentBytes.Collection,Rule,System Cache Resident Bytes,Collects the performance counter Memory\System Cache Resident Bytes,Tolerance,double,10,,,,
Microsoft.Windows.Server.2012.Monitoring,Microsoft.Windows.Server.6.2.OperatingSystem.MemorySystemCacheResidentBytes.Collection,Rule,System Cache Resident Bytes,Collects the performance counter Memory\System Cache Resident Bytes,MaximumSampleSeparation,int,6,,,,
Microsoft.Windows.Server.2012.Monitoring,Microsoft.Windows.Server.6.2.OperatingSystem.MemorySystemCacheResidentBytes.Collection,Rule,System Cache Resident Bytes,Collects the performance counter Memory\System Cache Resident Bytes,Frequency,int,600,,,,
Microsoft.Windows.Server.2012.Monitoring,Microsoft.Windows.Server.6.2.OperatingSystem.MemoryPagesPerSec.Collection,Rule,Memory Pages per Second Windows Server 2012,Collects the performance counter Memory\Pages Reads/Sec.,Enabled,bool,TRUE,,,,
Microsoft.Windows.Server.2012.Monitoring,Microsoft.Windows.Server.6.2.OperatingSystem.MemoryPagesPerSec.Collection,Rule,Memory Pages per Second Windows Server 2012,Collects the performance counter Memory\Pages Reads/Sec.,Tolerance,double,250,,,,
Microsoft.Windows.Server.2012.Monitoring,Microsoft.Windows.Server.6.2.OperatingSystem.MemoryPagesPerSec.Collection,Rule,Memory Pages per Second Windows Server 2012,Collects the performance counter Memory\Pages Reads/Sec.,MaximumSampleSeparation,int,12,,,,
Microsoft.Windows.Server.2012.Monitoring,Microsoft.Windows.Server.6.2.OperatingSystem.MemoryPagesPerSec.Collection,Rule,Memory Pages per Second Windows Server 2012,Collects the performance counter Memory\Pages Reads/Sec.,Frequency,int,300,,,,
Microsoft.Windows.Server.2012.Monitoring,Microsoft.Windows.Server.6.2.LogicalDisk.DiskReadsPerSec.Collection,Rule,Collection Rule for Disk Reads Per Second Windows Server 2012,Collects the performance counter LogicalDisk\Disk Reads Per Second,Enabled,bool,FALSE,,,,
Microsoft.Windows.Server.2012.Monitoring,Microsoft.Windows.Server.6.2.LogicalDisk.DiskReadsPerSec.Collection,Rule,Collection Rule for Disk Reads Per Second Windows Server 2012,Collects the performance counter LogicalDisk\Disk Reads Per Second,Tolerance,double,10,,,,
Microsoft.Windows.Server.2012.Monitoring,Microsoft.Windows.Server.6.2.LogicalDisk.DiskReadsPerSec.Collection,Rule,Collection Rule for Disk Reads Per Second Windows Server 2012,Collects the performance counter LogicalDisk\Disk Reads Per Second,MaximumSampleSeparation,int,12,,,,
Microsoft.Windows.Server.2012.Monitoring,Microsoft.Windows.Server.6.2.LogicalDisk.DiskReadsPerSec.Collection,Rule,Collection Rule for Disk Reads Per Second Windows Server 2012,Collects the performance counter LogicalDisk\Disk Reads Per Second,Frequency,int,300,,,,
Microsoft.Windows.Server.2012.Monitoring,Microsoft.Windows.Server.6.2.OperatingSystem.ServiceOrDriverFailedToStart.Collection,Rule,Collection rule for Service or Driver Failed to Start events,Collection rule for events indicating a service or driver has failed to start.,Enabled,bool,TRUE,,,,
Microsoft.Windows.Server.2012.Monitoring,Microsoft.Windows.Server.6.2.LogicalDisk.CurrentDiskQueueLength.Collection,Rule,Collection rule for Current Disk Queue Length Windows Server 2012,Collects the performance counter LogicalDisk\Current Disk Queue Length,Enabled,bool,TRUE,,,,
Microsoft.Windows.Server.2012.Monitoring,Microsoft.Windows.Server.6.2.LogicalDisk.CurrentDiskQueueLength.Collection,Rule,Collection rule for Current Disk Queue Length Windows Server 2012,Collects the performance counter LogicalDisk\Current Disk Queue Length,Tolerance,double,32,,,,
Microsoft.Windows.Server.2012.Monitoring,Microsoft.Windows.Server.6.2.LogicalDisk.CurrentDiskQueueLength.Collection,Rule,Collection rule for Current Disk Queue Length Windows Server 2012,Collects the performance counter LogicalDisk\Current Disk Queue Length,MaximumSampleSeparation,int,12,,,,
Microsoft.Windows.Server.2012.Monitoring,Microsoft.Windows.Server.6.2.LogicalDisk.CurrentDiskQueueLength.Collection,Rule,Collection rule for Current Disk Queue Length Windows Server 2012,Collects the performance counter LogicalDisk\Current Disk Queue Length,Frequency,int,300,,,,
Microsoft.Windows.Server.2012.Monitoring,Microsoft.Windows.Server.6.2.LogicalDisk.PercentIdle.Collection,Rule,% Logical Disk Idle Time Windows Server 2012,The percentage of time during the sample interval that the disk was idle.,Enabled,bool,TRUE,,,,
Microsoft.Windows.Server.2012.Monitoring,Microsoft.Windows.Server.6.2.LogicalDisk.PercentIdle.Collection,Rule,% Logical Disk Idle Time Windows Server 2012,The percentage of time during the sample interval that the disk was idle.,Tolerance,double,50,,,,
Microsoft.Windows.Server.2012.Monitoring,Microsoft.Windows.Server.6.2.LogicalDisk.PercentIdle.Collection,Rule,% Logical Disk Idle Time Windows Server 2012,The percentage of time during the sample interval that the disk was idle.,MaximumSampleSeparation,int,12,,,,
Microsoft.Windows.Server.2012.Monitoring,Microsoft.Windows.Server.6.2.LogicalDisk.PercentIdle.Collection,Rule,% Logical Disk Idle Time Windows Server 2012,The percentage of time during the sample interval that the disk was idle.,Frequency,int,300,,,,
Microsoft.Windows.Server.2012.Monitoring,Microsoft.Windows.Server.6.2.OperatingSystem.SoftwareUpdateInstallationFailed.Alert,Rule,A Software Update Installation Failed,A failed software update installation was detected.,Enabled,bool,FALSE,,,,
Microsoft.Windows.Server.2012.Monitoring,Microsoft.Windows.Server.6.2.OperatingSystem.SoftwareUpdateInstallationFailed.Alert,Rule,A Software Update Installation Failed,A failed software update installation was detected.,Severity,int,2,,,,
