ManagementPackId,WorkflowId,WorkflowType,DisplayName,Description,OverrideParameterName,OverrideParameterType,DefaultValue,Test,QA,Production,Performance,Notes
Microsoft.Linux.Universal.Monitoring,Microsoft.Linux.Universal.OperatingSystem.UsedMemoryMBytes.Collection,Rule,Used Memory MBytes (Universal Linux),Collection rule for the performance counter Memory\Used Memory MBytes,SyncTime,string,,,,,,
Microsoft.Linux.Universal.Monitoring,Microsoft.Linux.Universal.Processor.PercentProcessorTime.Collection,Rule,Processor % Time (Universal Linux),Collects the performance counter Processor\% Processor Time,Enabled,bool,TRUE,,,,,
Microsoft.Linux.Universal.Monitoring,Microsoft.Linux.Universal.Processor.PercentProcessorTime.Collection,Rule,Processor % Time (Universal Linux),Collects the performance counter Processor\% Processor Time,Interval,int,300,900,600,300,120,
Microsoft.Linux.Universal.Monitoring,Microsoft.Linux.Universal.Processor.PercentProcessorTime.Collection,Rule,Processor % Time (Universal Linux),Collects the performance counter Processor\% Processor Time,SyncTime,string,,,,,,
Microsoft.Linux.Universal.Monitoring,Microsoft.Linux.Universal.Processor.PercentUserTime.Collection,Rule,Processor % User Time (Universal Linux),Collects the performance counter Processor\% User Time,Enabled,bool,TRUE,,,,,
Microsoft.Linux.Universal.Monitoring,Microsoft.Linux.Universal.Processor.PercentUserTime.Collection,Rule,Processor % User Time (Universal Linux),Collects the performance counter Processor\% User Time,Interval,int,300,900,600,300,120,
Microsoft.Linux.Universal.Monitoring,Microsoft.Linux.Universal.Processor.PercentUserTime.Collection,Rule,Processor % User Time (Universal Linux),Collects the performance counter Processor\% User Time,SyncTime,string,,,,,,
Microsoft.Linux.Universal.Monitoring,Microsoft.Linux.Universal.OperatingSystem.PercentUsedMemory.Collection,Rule,% Used Memory (Universal Linux),Collection rule for the performance counter Memory\% Used Memory,Enabled,bool,TRUE,,,,,
Microsoft.Linux.Universal.Monitoring,Microsoft.Linux.Universal.OperatingSystem.PercentUsedMemory.Collection,Rule,% Used Memory (Universal Linux),Collection rule for the performance counter Memory\% Used Memory,Interval,int,300,900,600,300,120,
Microsoft.Linux.Universal.Monitoring,Microsoft.Linux.Universal.OperatingSystem.PercentUsedMemory.Collection,Rule,% Used Memory (Universal Linux),Collection rule for the performance counter Memory\% Used Memory,SyncTime,string,,,,,,
Microsoft.Linux.Universal.Monitoring,Microsoft.Linux.Universal.OperatingSystem.TotalPercentIOWaitTime.Collection,Rule,Total Processor % IO Wait Time (Universal Linux),Collects the performance counter Processor\% IO Wait Time,Enabled,bool,TRUE,,,,,
Microsoft.Linux.Universal.Monitoring,Microsoft.Linux.Universal.OperatingSystem.TotalPercentIOWaitTime.Collection,Rule,Total Processor % IO Wait Time (Universal Linux),Collects the performance counter Processor\% IO Wait Time,Interval,int,300,900,600,300,120,
Microsoft.Linux.Universal.Monitoring,Microsoft.Linux.Universal.OperatingSystem.TotalPercentIOWaitTime.Collection,Rule,Total Processor % IO Wait Time (Universal Linux),Collects the performance counter Processor\% IO Wait Time,SyncTime,string,,,,,,
Microsoft.Linux.Universal.Monitoring,Microsoft.Linux.Universal.PhysicalDisk.AverageDiskWriteTime.Collection,Rule,Avg. Disk sec/Write (Universal Linux),Collection rule for the performance counter Physical Disk\Avg. Disk sec/Write,Enabled,bool,TRUE,,,,,
Microsoft.Linux.Universal.Monitoring,Microsoft.Linux.Universal.PhysicalDisk.AverageDiskWriteTime.Collection,Rule,Avg. Disk sec/Write (Universal Linux),Collection rule for the performance counter Physical Disk\Avg. Disk sec/Write,Interval,int,300,900,600,300,120,
Microsoft.Linux.Universal.Monitoring,Microsoft.Linux.Universal.PhysicalDisk.AverageDiskWriteTime.Collection,Rule,Avg. Disk sec/Write (Universal Linux),Collection rule for the performance counter Physical Disk\Avg. Disk sec/Write,SyncTime,string,,,,,,
Microsoft.Linux.Universal.Monitoring,Microsoft.Linux.Universal.Processor.TotalPercentIOWaitTime.Collection,Rule,Processor % IO Time (Universal Linux),Collects the performance counter Processor\% IO Wait Time,Enabled,bool,TRUE,,,,,
Microsoft.Linux.Universal.Monitoring,Microsoft.Linux.Universal.Processor.TotalPercentIOWaitTime.Collection,Rule,Processor % IO Time (Universal Linux),Collects the performance counter Processor\% IO Wait Time,Interval,int,300,900,600,300,120,
Microsoft.Linux.Universal.Monitoring,Microsoft.Linux.Universal.Processor.TotalPercentIOWaitTime.Collection,Rule,Processor % IO Time (Universal Linux),Collects the performance counter Processor\% IO Wait Time,SyncTime,string,,,,,,
Microsoft.Linux.Universal.Monitoring,Microsoft.Linux.Universal.OperatingSystem.PagesPerSecond.Collection,Rule,Pages/sec (Universal Linux),Collection rule for the performance counter Memory\Pages/sec,Enabled,bool,TRUE,,,,,
Microsoft.Linux.Universal.Monitoring,Microsoft.Linux.Universal.OperatingSystem.PagesPerSecond.Collection,Rule,Pages/sec (Universal Linux),Collection rule for the performance counter Memory\Pages/sec,Interval,int,300,900,600,300,120,
Microsoft.Linux.Universal.Monitoring,Microsoft.Linux.Universal.OperatingSystem.PagesPerSecond.Collection,Rule,Pages/sec (Universal Linux),Collection rule for the performance counter Memory\Pages/sec,SyncTime,string,,,,,,
Microsoft.Linux.Universal.Monitoring,Microsoft.Linux.Universal.OperatingSystem.AvailableMBytes.Collection,Rule,Available MBytes Memory (Universal Linux),Collection rule for the performance counter Memory\Available MBytes,Enabled,bool,TRUE,,,,,
Microsoft.Linux.Universal.Monitoring,Microsoft.Linux.Universal.OperatingSystem.AvailableMBytes.Collection,Rule,Available MBytes Memory (Universal Linux),Collection rule for the performance counter Memory\Available MBytes,Interval,int,300,900,600,300,120,
Microsoft.Linux.Universal.Monitoring,Microsoft.Linux.Universal.OperatingSystem.AvailableMBytes.Collection,Rule,Available MBytes Memory (Universal Linux),Collection rule for the performance counter Memory\Available MBytes,SyncTime,string,,,,,,
Microsoft.Linux.Universal.Monitoring,Microsoft.Linux.Universal.LogicalDisk.DiskTransfersPerSecond.Collection,Rule,Disk Transfers/sec (Universal Linux),Collection rule for the performance counter Logical Disk\Disk Transfers/sec,Enabled,bool,TRUE,,,,,
Microsoft.Linux.Universal.Monitoring,Microsoft.Linux.Universal.LogicalDisk.DiskTransfersPerSecond.Collection,Rule,Disk Transfers/sec (Universal Linux),Collection rule for the performance counter Logical Disk\Disk Transfers/sec,Interval,int,300,900,600,300,120,
Microsoft.Linux.Universal.Monitoring,Microsoft.Linux.Universal.LogicalDisk.DiskTransfersPerSecond.Collection,Rule,Disk Transfers/sec (Universal Linux),Collection rule for the performance counter Logical Disk\Disk Transfers/sec,SyncTime,string,,,,,,
Microsoft.Linux.Universal.Monitoring,Microsoft.Linux.Universal.OperatingSystem.UsedMBytesSwap.Collection,Rule,Used Swap MBytes (Universal Linux),Collection rule for the performance counter Swap Space\Used MBytes,Enabled,bool,TRUE,,,,,
Microsoft.Linux.Universal.Monitoring,Microsoft.Linux.Universal.OperatingSystem.UsedMBytesSwap.Collection,Rule,Used Swap MBytes (Universal Linux),Collection rule for the performance counter Swap Space\Used MBytes,Interval,int,300,900,600,300,120,
Microsoft.Linux.Universal.Monitoring,Microsoft.Linux.Universal.OperatingSystem.UsedMBytesSwap.Collection,Rule,Used Swap MBytes (Universal Linux),Collection rule for the performance counter Swap Space\Used MBytes,SyncTime,string,,,,,,
Microsoft.Linux.Universal.Monitoring,Microsoft.Linux.Universal.LogicalDisk.DiskWritesPerSecond.Collection,Rule,Disk Writes/sec (Universal Linux),Collection rule for the performance counter Logical Disk\Disk Writes/sec,Enabled,bool,TRUE,,,,,
Microsoft.Linux.Universal.Monitoring,Microsoft.Linux.Universal.LogicalDisk.DiskWritesPerSecond.Collection,Rule,Disk Writes/sec (Universal Linux),Collection rule for the performance counter Logical Disk\Disk Writes/sec,Interval,int,300,900,600,300,120,
