ManagementPackId,WorkflowId,WorkflowType,DisplayName,Description,OverrideParameterName,OverrideParameterType,DefaultValue,AvailabilityOnly,Summary,SummaryOpsDBOnly,DefaultOpsDBOnly,DefaultDWHFull,Notes
NiCE.Oracle.X,NiCE.Oracle.X.UM.PDB.TSFreeSpaceGBSummary,UnitMonitor,Tablespace Free Space (Gigabyte) Summary (PDB),This monitor provides the number of tablespaces with less than 1 GB free space (default internal threshold). Use this monitor if tablespace discovery is disabled.,Enabled,bool,FALSE,,,,,,
NiCE.Oracle.X,NiCE.Oracle.X.Cookdown.Redologfiles.Discovery,Discovery,Oracle Redo Log Files Auxiliary Discovery (UNIX/Linux),Discovery to optimize the Oracle Redo Log Files Discovery.,SyncTime,string,,,,,,,
NiCE.Oracle.X,NiCE.Oracle.X.Cookdown.Redologfiles.Discovery,Discovery,Oracle Redo Log Files Auxiliary Discovery (UNIX/Linux),Discovery to optimize the Oracle Redo Log Files Discovery.,IntervalSeconds,int,14400,,,,,,
NiCE.Oracle.X,NiCE.Oracle.X.UM.PDB.TSFreeSpaceGBTopSummary,UnitMonitor,Tablespace Free Space (Gigabyte) Top Summary (PDB),This monitor provides free space percentage for a tablespace with the lowest percent value of free space. Use this monitor if tablespace discovery is disabled. Use this monitor if tablespace discovery is disabled.,Enabled,bool,FALSE,,TRUE,TRUE,,,
NiCE.Oracle.X,NiCE.Oracle.X.Controlfiles.Node.Discovery,Discovery,Oracle Control Files Node Discovery (UNIX/Linux),Discover the Node Control Files for Grouping.,IntervalSeconds,int,14400,,,,,,
NiCE.Oracle.X,NiCE.Oracle.X.Controlfiles.Node.Discovery,Discovery,Oracle Control Files Node Discovery (UNIX/Linux),Discover the Node Control Files for Grouping.,SyncTime,string,,,,,,,
NiCE.Oracle.X,NiCE.Oracle.X.UM.PDB.TSPhysReadCnt,UnitMonitor,Tablespace Block to Physical Reads Ratio (PDB),This monitor provides the ratio of physical block reads (PHYBLKRD) to physical reads done (PHYRDS) for a tablespace.,Enabled,bool,FALSE,,,,,,
NiCE.Oracle.X,NiCE.Oracle.X.Tablespaces.Node.Discovery,Discovery,Oracle Tablespaces Node Discovery (UNIX/Linux),Discover the Tablespaces Node for Grouping.,IntervalSeconds,int,14400,,,,,,
NiCE.Oracle.X,NiCE.Oracle.X.Tablespaces.Node.Discovery,Discovery,Oracle Tablespaces Node Discovery (UNIX/Linux),Discover the Tablespaces Node for Grouping.,SyncTime,string,,,,,,,
NiCE.Oracle.X,NiCE.Oracle.X.UM.PDB.TSTempSegmentUsageCnt,UnitMonitor,Tablespace Temp Segment Usage (PDB),This monitor provides the temp segment usage percentage for a tablespace.,Enabled,bool,TRUE,FALSE,FALSE,FALSE,,,
NiCE.Oracle.X,NiCE.Oracle.X.UM.PGACacheHitPrct,UnitMonitor,PGA Cache Hit Percentage,This monitor provides PGA cache hit percentage. The value is cumulative from instance start-up.,Enabled,bool,FALSE,,,,,,
NiCE.Oracle.X,NiCE.Oracle.X.Cookdown.Tablespace.Discovery,Discovery,Oracle Tablespace Auxiliary Discovery (UNIX/Linux),Discovery to optimize the Oracle Tablespace Discovery.,SyncTime,string,,,,,,,
NiCE.Oracle.X,NiCE.Oracle.X.Cookdown.Tablespace.Discovery,Discovery,Oracle Tablespace Auxiliary Discovery (UNIX/Linux),Discovery to optimize the Oracle Tablespace Discovery.,IntervalSeconds,int,14400,,,,,,
NiCE.Oracle.X,NiCE.Oracle.X.UM.ProcessStatus,UnitMonitor,Oracle Instance Process Status,This monitor provides the number of critical Oracle processes which are not running.,Enabled,bool,TRUE,,FALSE,FALSE,,,
NiCE.Oracle.X,NiCE.Oracle.X.PDB.Tablespace.Discovery,Discovery,Oracle Tablespace (PDB) Discovery (UNIX/Linux),Discover the Oracle Tablespace on a UNIX/Linux Computer.,IntervalSeconds,int,14400,,,,,,
NiCE.Oracle.X,NiCE.Oracle.X.PDB.Tablespace.Discovery,Discovery,Oracle Tablespace (PDB) Discovery (UNIX/Linux),Discover the Oracle Tablespace on a UNIX/Linux Computer.,Tracing,bool,FALSE,,,,,,
NiCE.Oracle.X,NiCE.Oracle.X.PDB.Tablespace.Discovery,Discovery,Oracle Tablespace (PDB) Discovery (UNIX/Linux),Discover the Oracle Tablespace on a UNIX/Linux Computer.,SyncTime,string,,,,,,,
NiCE.Oracle.X,NiCE.Oracle.X.UM.ProcsLeftPrct,UnitMonitor,Processes Left Percent,This monitor detects if number of active processes reaches the limit.,Enabled,bool,TRUE,,,,,,
NiCE.Oracle.X,NiCE.Oracle.X.Cookdown.RACDBServices.Discovery,Discovery,Oracle RAC DB Services Auxiliary Discovery (UNIX/Linux),Discover the RAC DB Service for Grouping.,SyncTime,string,,,,,,,
NiCE.Oracle.X,NiCE.Oracle.X.Cookdown.RACDBServices.Discovery,Discovery,Oracle RAC DB Services Auxiliary Discovery (UNIX/Linux),Discover the RAC DB Service for Grouping.,IntervalSeconds,int,14400,,,,,,
NiCE.Oracle.X,NiCE.Oracle.X.UM.RecCallsPrcnt,UnitMonitor,Recursive Calls Percentage,This monitor provides the percentage of recursive calls to total calls.,Enabled,bool,FALSE,,,,,,
NiCE.Oracle.X,NiCE.Oracle.X.Cookdown.PDB.Tablespace.Discovery,Discovery,Oracle Tablespace (PDB) Auxiliary Discovery (UNIX/Linux),Discovery to optimize the Oracle PDB Tablespace Discovery.,SyncTime,string,,,,,,,
NiCE.Oracle.X,NiCE.Oracle.X.Cookdown.PDB.Tablespace.Discovery,Discovery,Oracle Tablespace (PDB) Auxiliary Discovery (UNIX/Linux),Discovery to optimize the Oracle PDB Tablespace Discovery.,IntervalSeconds,int,14400,,,,,,
NiCE.Oracle.X,NiCE.Oracle.X.UM.RecoveryStatus,UnitMonitor,Recovery Status,This monitor determines the number of Oracle Recovery files returned from the v$recover_file view.,Enabled,bool,TRUE,,FALSE,FALSE,,,
NiCE.Oracle.X,NiCE.Oracle.X.Datafile.Discovery,Discovery,Oracle Datafile Discovery (UNIX/Linux),Discover the Oracle Datafile on a UNIX/Linux Computer.,IntervalSeconds,int,14400,,,,,,
NiCE.Oracle.X,NiCE.Oracle.X.Datafile.Discovery,Discovery,Oracle Datafile Discovery (UNIX/Linux),Discover the Oracle Datafile on a UNIX/Linux Computer.,SyncTime,string,,,,,,,
NiCE.Oracle.X,NiCE.Oracle.X.Datafile.Discovery,Discovery,Oracle Datafile Discovery (UNIX/Linux),Discover the Oracle Datafile on a UNIX/Linux Computer.,Tracing,bool,FALSE,,,,,,
NiCE.Oracle.X,NiCE.Oracle.X.UM.RedoLogFileStatus,UnitMonitor,Redo Log File Status,"This monitor provides the status of the Oracle Redo Log file. Value 0 = NULL, all other 1.",Enabled,bool,TRUE,,FALSE,FALSE,,,
NiCE.Oracle.X,NiCE.Oracle.X.Redologfile.Discovery,Discovery,Oracle Redo Log File Discovery (UNIX/Linux),Discover the Oracle Redo Log Files on a UNIX/Linux Computer.,SyncTime,string,,,,,,,
NiCE.Oracle.X,NiCE.Oracle.X.Redologfile.Discovery,Discovery,Oracle Redo Log File Discovery (UNIX/Linux),Discover the Oracle Redo Log Files on a UNIX/Linux Computer.,IntervalSeconds,int,14400,,,,,,
NiCE.Oracle.X,NiCE.Oracle.X.Redologfile.Discovery,Discovery,Oracle Redo Log File Discovery (UNIX/Linux),Discover the Oracle Redo Log Files on a UNIX/Linux Computer.,Tracing,bool,FALSE,,,,,,
NiCE.Oracle.X,NiCE.Oracle.X.UM.RedoLogSpaceReqCnt,UnitMonitor,Redo Logs Space Wait Count,This monitor provides the number of waits for redo log space for a specific instance.,Enabled,bool,TRUE,FALSE,FALSE,FALSE,,,
NiCE.Oracle.X,NiCE.Oracle.X.Cookdown.PDB.Discovery,Discovery,Oracle PDB Auxiliary Discovery (UNIX/Linux),Discovery to optimize the Oracle PDB Discovery.,SyncTime,string,,,,,,,
NiCE.Oracle.X,NiCE.Oracle.X.Cookdown.PDB.Discovery,Discovery,Oracle PDB Auxiliary Discovery (UNIX/Linux),Discovery to optimize the Oracle PDB Discovery.,IntervalSeconds,int,14400,,,,,,
NiCE.Oracle.X,NiCE.Oracle.X.UM.SegmentStatusCnt,UnitMonitor,Segment Status,This monitor provides the number of segments that cannot extend for a tablespace.,Enabled,bool,TRUE,,FALSE,FALSE,,,
NiCE.Oracle.X,NiCE.Oracle.X.Cookdown.Controlfiles.Discovery,Discovery,Oracle Control Files Auxiliary Discovery (UNIX/Linux),Discovery to optimize the Oracle Control Files Discovery.,IntervalSeconds,int,14400,,,,,,
NiCE.Oracle.X,NiCE.Oracle.X.Cookdown.Controlfiles.Discovery,Discovery,Oracle Control Files Auxiliary Discovery (UNIX/Linux),Discovery to optimize the Oracle Control Files Discovery.,SyncTime,string,,,,,,,
