ManagementPackId,WorkflowId,WorkflowType,DisplayName,Description,OverrideParameterName,OverrideParameterType,DefaultValue,Balanced,Essential,Full,Notes
Microsoft.Windows.InternetInformationServices.2016,Microsoft.Windows.InternetInformationServices.10.0.FTPServer.FTPServiceBytesSentSec.Collection,Rule,FTP Service\Bytes Sent/sec Performance Rule in FTP Server,FTP Service\Bytes Sent/sec Performance Rule in FTP Server,Frequency,int,300,,,,
Microsoft.Windows.InternetInformationServices.2016,Microsoft.Windows.InternetInformationServices.10.0.FTPServer.FTPServiceBytesTotalSec.Collection,Rule,FTP Service\Bytes Total/sec Performance Rule in FTP Server,FTP Service\Bytes Total/sec Performance Rule in FTP Server,Enabled,bool,TRUE,,FALSE,,Reduced performance collection for Essentials configuration
Microsoft.Windows.InternetInformationServices.2016,Microsoft.Windows.InternetInformationServices.10.0.FTPServer.FTPServiceBytesTotalSec.Collection,Rule,FTP Service\Bytes Total/sec Performance Rule in FTP Server,FTP Service\Bytes Total/sec Performance Rule in FTP Server,Tolerance,double,5,,,,
Microsoft.Windows.InternetInformationServices.2016,Microsoft.Windows.InternetInformationServices.10.0.FTPServer.FTPServiceBytesTotalSec.Collection,Rule,FTP Service\Bytes Total/sec Performance Rule in FTP Server,FTP Service\Bytes Total/sec Performance Rule in FTP Server,MaximumSampleSeparation,int,4,,,,
Microsoft.Windows.InternetInformationServices.2016,Microsoft.Windows.InternetInformationServices.10.0.FTPServer.FTPServiceBytesTotalSec.Collection,Rule,FTP Service\Bytes Total/sec Performance Rule in FTP Server,FTP Service\Bytes Total/sec Performance Rule in FTP Server,Frequency,int,300,,,,
Microsoft.Windows.InternetInformationServices.2016,Microsoft.Windows.InternetInformationServices.10.0.FTPServer.FTPServiceCurrentConnections.Collection,Rule,FTP Service\Current Connections Performance Rule in FTP Server,FTP Service\Current Connections Performance Rule in FTP Server,Enabled,bool,TRUE,,FALSE,,Reduced performance collection for Essentials configuration
Microsoft.Windows.InternetInformationServices.2016,Microsoft.Windows.InternetInformationServices.10.0.FTPServer.FTPServiceCurrentConnections.Collection,Rule,FTP Service\Current Connections Performance Rule in FTP Server,FTP Service\Current Connections Performance Rule in FTP Server,Tolerance,double,5,,,,
Microsoft.Windows.InternetInformationServices.2016,Microsoft.Windows.InternetInformationServices.10.0.FTPServer.FTPServiceCurrentConnections.Collection,Rule,FTP Service\Current Connections Performance Rule in FTP Server,FTP Service\Current Connections Performance Rule in FTP Server,MaximumSampleSeparation,int,4,,,,
Microsoft.Windows.InternetInformationServices.2016,Microsoft.Windows.InternetInformationServices.10.0.FTPServer.FTPServiceCurrentConnections.Collection,Rule,FTP Service\Current Connections Performance Rule in FTP Server,FTP Service\Current Connections Performance Rule in FTP Server,Frequency,int,300,,,,
Microsoft.Windows.InternetInformationServices.2016,Microsoft.Windows.InternetInformationServices.10.0.FTPServer.NTService.CheckServiceState.Monitor,UnitMonitor,FTP service availability,FTP service availability,Enabled,bool,TRUE,,,,
Microsoft.Windows.InternetInformationServices.2016,Microsoft.Windows.InternetInformationServices.10.0.FTPServer.NTService.CheckServiceState.Monitor,UnitMonitor,FTP service availability,FTP service availability,CheckStartupType,string,,,,,
Microsoft.Windows.InternetInformationServices.2016,Microsoft.Windows.InternetInformationServices.10.0.FTPSite.FTPServiceBytesReceivedSec.Collection,Rule,FTP Service\Bytes Received/sec Performance Rule in FTP Site,FTP Service\Bytes Received/sec Performance Rule in FTP Site,Enabled,bool,FALSE,,,TRUE,Additional performance collection for full configuration
Microsoft.Windows.InternetInformationServices.2016,Microsoft.Windows.InternetInformationServices.10.0.FTPSite.FTPServiceBytesReceivedSec.Collection,Rule,FTP Service\Bytes Received/sec Performance Rule in FTP Site,FTP Service\Bytes Received/sec Performance Rule in FTP Site,Tolerance,double,5,,,,
Microsoft.Windows.InternetInformationServices.2016,Microsoft.Windows.InternetInformationServices.10.0.FTPSite.FTPServiceBytesReceivedSec.Collection,Rule,FTP Service\Bytes Received/sec Performance Rule in FTP Site,FTP Service\Bytes Received/sec Performance Rule in FTP Site,MaximumSampleSeparation,int,4,,,,
Microsoft.Windows.InternetInformationServices.2016,Microsoft.Windows.InternetInformationServices.10.0.FTPSite.FTPServiceBytesReceivedSec.Collection,Rule,FTP Service\Bytes Received/sec Performance Rule in FTP Site,FTP Service\Bytes Received/sec Performance Rule in FTP Site,Frequency,int,300,,,,
Microsoft.Windows.InternetInformationServices.2016,Microsoft.Windows.InternetInformationServices.10.0.FTPSite.FTPServiceBytesSentSec.Collection,Rule,FTP Service\Bytes Sent/sec Performance Rule in FTP Site,FTP Service\Bytes Sent/sec Performance Rule in FTP Site,Enabled,bool,FALSE,,,TRUE,Additional performance collection for full configuration
Microsoft.Windows.InternetInformationServices.2016,Microsoft.Windows.InternetInformationServices.10.0.FTPSite.FTPServiceBytesSentSec.Collection,Rule,FTP Service\Bytes Sent/sec Performance Rule in FTP Site,FTP Service\Bytes Sent/sec Performance Rule in FTP Site,Tolerance,double,5,,,,
Microsoft.Windows.InternetInformationServices.2016,Microsoft.Windows.InternetInformationServices.10.0.FTPSite.FTPServiceBytesSentSec.Collection,Rule,FTP Service\Bytes Sent/sec Performance Rule in FTP Site,FTP Service\Bytes Sent/sec Performance Rule in FTP Site,MaximumSampleSeparation,int,4,,,,
Microsoft.Windows.InternetInformationServices.2016,Microsoft.Windows.InternetInformationServices.10.0.FTPSite.FTPServiceBytesSentSec.Collection,Rule,FTP Service\Bytes Sent/sec Performance Rule in FTP Site,FTP Service\Bytes Sent/sec Performance Rule in FTP Site,Frequency,int,300,,,,
