ManagementPackId,WorkflowId,WorkflowType,DisplayName,Description,OverrideParameterName,OverrideParameterType,DefaultValue,Notes
Microsoft.SystemCenter.VirtualMachineManager.2016.Monitoring,Microsoft.SystemCenter.VirtualMachineManager.2016.VMMUpdate971244Monitor,UnitMonitor,System Center 2016 Virtual Machine Manager Update 971244,Monitors the presence of VMM update 971244,Arguments,string,,
Microsoft.SystemCenter.VirtualMachineManager.2016.Monitoring,Microsoft.SystemCenter.VirtualMachineManager.2016.VMMUpdate971244Monitor,UnitMonitor,System Center 2016 Virtual Machine Manager Update 971244,Monitors the presence of VMM update 971244,TimeoutSeconds,int,300,
Microsoft.SystemCenter.VirtualMachineManager.2016.Monitoring,Microsoft.SystemCenter.VirtualMachineManager.2016.VMMUpdate971244Monitor,UnitMonitor,System Center 2016 Virtual Machine Manager Update 971244,Monitors the presence of VMM update 971244,SyncTime,string,,
Microsoft.SystemCenter.VirtualMachineManager.2016.Monitoring,Microsoft.SystemCenter.VirtualMachineManager.2016.VMMUpdate971244Monitor,UnitMonitor,System Center 2016 Virtual Machine Manager Update 971244,Monitors the presence of VMM update 971244,IntervalSeconds,int,86400,
Microsoft.SystemCenter.VirtualMachineManager.2016.Monitoring,Microsoft.SystemCenter.VirtualMachineManager.2016.HyperVHostUpdate958184Monitor,UnitMonitor,System Center 2016 Virtual Machine Manager Hyper-V Host Update 958184,Monitors whether the VMM Hyper-V host update 958184 is installed,Enabled,bool,FALSE,
Microsoft.SystemCenter.VirtualMachineManager.2016.Monitoring,Microsoft.SystemCenter.VirtualMachineManager.2016.HyperVHostUpdate958184Monitor,UnitMonitor,System Center 2016 Virtual Machine Manager Hyper-V Host Update 958184,Monitors whether the VMM Hyper-V host update 958184 is installed,FileName,string,Vmms.exe,
Microsoft.SystemCenter.VirtualMachineManager.2016.Monitoring,Microsoft.SystemCenter.VirtualMachineManager.2016.HyperVHostUpdate958184Monitor,UnitMonitor,System Center 2016 Virtual Machine Manager Hyper-V Host Update 958184,Monitors whether the VMM Hyper-V host update 958184 is installed,IntervalSeconds,int,86400,
Microsoft.SystemCenter.VirtualMachineManager.2016.Monitoring,Microsoft.SystemCenter.VirtualMachineManager.2016.HyperVHostUpdate958184Monitor,UnitMonitor,System Center 2016 Virtual Machine Manager Hyper-V Host Update 958184,Monitors whether the VMM Hyper-V host update 958184 is installed,TimeoutSeconds,int,300,
Microsoft.SystemCenter.VirtualMachineManager.2016.Monitoring,Microsoft.SystemCenter.VirtualMachineManager.2016.HyperVHostUpdate958184Monitor,UnitMonitor,System Center 2016 Virtual Machine Manager Hyper-V Host Update 958184,Monitors whether the VMM Hyper-V host update 958184 is installed,ParentPath,string,%windir%\System32,
Microsoft.SystemCenter.VirtualMachineManager.2016.Monitoring,Microsoft.SystemCenter.VirtualMachineManager.2016.HyperVHostUpdate958184Monitor,UnitMonitor,System Center 2016 Virtual Machine Manager Hyper-V Host Update 958184,Monitors whether the VMM Hyper-V host update 958184 is installed,ExpectedVersion,string,6.0.6001.22276,
